"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
6.289125533E0,6.668161154E-1,-1.455725431E0,1.191228509E0
6.308040220E0,7.144622207E-1,-1.389142990E0,1.177789927E0
6.326954960E0,7.511130571E-1,-1.317673922E0,1.161296964E0
6.345869699E0,7.798228860E-1,-1.243150473E0,1.144804120E0
6.364784439E0,8.024242520E-1,-1.165572882E0,1.128922105E0
6.383699178E0,8.231930137E-1,-1.084941030E0,1.113650918E0
6.402613918E0,8.409076333E-1,-9.982007742E-1,1.091049552E0
6.421528658E0,8.494594693E-1,-8.968001604E-1,1.047679424E0
6.440443397E0,8.531245589E-1,-7.868476510E-1,9.927031398E-1
6.459358137E0,8.561787605E-1,-6.787276864E-1,9.444462061E-1
6.478272876E0,8.586221933E-1,-5.693860054E-1,8.967237473E-1
6.497187616E0,8.537353873E-1,-4.563792646E-1,8.490777016E-1
6.516102356E0,8.415184617E-1,-3.452050686E-1,8.050966859E-1
6.535017095E0,8.238039017E-1,-2.364742458E-1,7.660024762E-1
6.553931835E0,7.987591624E-1,-1.307976693E-1,7.293516397E-1
6.572846574E0,7.639408708E-1,-2.687728032E-2,6.945333481E-1
6.591761262E0,7.211815715E-1,7.635590434E-2,6.584933400E-1
6.610676001E0,6.717029214E-1,1.783674061E-1,6.181774139E-1
6.629590741E0,6.155049801E-1,2.797680497E-1,5.735855699E-1
6.648505481E0,5.544202328E-1,3.811686933E-1,5.210527182E-1
6.667420220E0,4.915029705E-1,4.837910235E-1,4.599680007E-1
6.686334960E0,4.298073947E-1,5.858024955E-1,3.915531039E-1
6.705249699E0,3.687226772E-1,6.847597957E-1,3.164188862E-1
6.724164439E0,3.106921911E-1,7.812736630E-1,2.370087355E-1
6.743079178E0,2.563267946E-1,8.753440976E-1,1.533226669E-1
6.761993918E0,2.056264579E-1,9.633061290E-1,6.841489673E-2
6.780908658E0,1.579803675E-1,1.043937922E0,-1.710372418E-2
6.799823397E0,1.139993668E-1,1.118461370E0,-1.007898003E-1
6.818738137E0,7.246175408E-2,1.184432864E0,-1.844758689E-1
6.837652876E0,3.153498843E-2,1.242463350E0,-2.632751763E-1
6.856567616E0,-7.559234742E-3,1.293774486E0,-3.414636254E-1
6.875482303E0,-4.482091591E-2,1.337144613E0,-4.184303582E-1
6.894397043E0,-8.086090535E-2,1.373184681E0,-4.960079789E-1
6.913311783E0,-1.138466597E-1,1.402505279E0,-5.741963983E-1
6.932226522E0,-1.419456303E-1,1.426328301E0,-6.536065936E-1
6.951141262E0,-1.645469815E-1,1.446486354E0,-7.342383862E-1
6.970056001E0,-1.804290116E-1,1.461757541E0,-8.167027831E-1
6.988970741E0,-1.883700192E-1,1.471531034E0,-8.979454637E-1
7.007885481E0,-1.847049445E-1,1.474585295E0,-9.767447710E-1
7.026800220E0,-1.737096906E-1,1.471531034E0,-1.051268101E0
7.045714960E0,-1.572168171E-1,1.460535765E0,-1.119683027E0
7.064629699E0,-1.346154660E-1,1.442821264E0,-1.180156946E0
7.083544439E0,-1.114032716E-1,1.415943980E0,-1.230857253E0
7.102459178E0,-9.002361447E-2,1.381736517E0,-1.271173120E0
7.121373918E0,-7.108735293E-2,1.340198874E0,-1.301104665E0
7.140288658E0,-5.703786388E-2,1.288887739E0,-1.323095202E0
7.159203397E0,-4.665346071E-2,1.231468081E0,-1.337144613E0
7.178118137E0,-4.115583375E-2,1.167939901E0,-1.343863964E0
7.197032876E0,-3.810159862E-2,1.098303318E0,-1.343863964E0
7.215947616E0,-4.115583375E-2,1.019504070E0,-1.331036210E0
7.234862356E0,-5.276193097E-2,9.284878373E-1,-1.298050404E0
7.253777095E0,-6.436803192E-2,8.325847983E-1,-1.257123709E0
7.272691835E0,-6.742226332E-2,7.391251922E-1,-1.221694469E0
7.291606574E0,-6.436803192E-2,6.456655264E-1,-1.190541267E0
7.310521314E0,-5.642701685E-2,5.515950918E-1,-1.162442327E0
7.329436053E0,-4.237752780E-2,4.587462842E-1,-1.137397647E0
7.348350793E0,-2.893888950E-2,3.683409095E-1,-1.117239594E0
7.367265533E0,-1.855448633E-2,2.779355049E-1,-1.095860004E0
7.386180272E0,-1.244601328E-2,1.856975704E-1,-1.071426034E0
7.405095012E0,-1.672194339E-2,9.040539712E-2,-1.039051175E0
7.424009751E0,-3.138227761E-2,-9.162709117E-3,-9.950701594E-1
7.442924491E0,-5.581616983E-2,-1.143047959E-1,-9.388722181E-1
7.461839231E0,-8.635853231E-2,-2.236464471E-1,-8.686248064E-1
7.480753970E0,-1.223985180E-1,-3.378748894E-1,-7.855495811E-1
7.499668710E0,-1.572168171E-1,-4.545467198E-1,-6.914790869E-1
7.518583449E0,-1.877591759E-1,-5.712185502E-1,-5.888567567E-1
7.537498189E0,-2.121930718E-1,-6.872795224E-1,-4.807367921E-1
7.556412928E0,-2.262425572E-1,-7.996754050E-1,-3.701734245E-1
7.575327668E0,-2.299076319E-1,-9.059628248E-1,-2.620534599E-1
7.594242408E0,-2.225774676E-1,-1.004309297E0,-1.569877416E-1
7.613157147E0,-2.066954374E-1,-1.092882156E0,-5.803048983E-2
7.632071887E0,-1.847049445E-1,-1.172903061E0,3.298575059E-2
7.650986626E0,-1.584385037E-1,-1.243150473E0,1.185043678E-1
7.669901366E0,-1.321720779E-1,-1.305456996E0,2.009687424E-1
7.688816106E0,-1.059056446E-1,-1.359822392E0,2.803788781E-1
7.707730845E0,-8.086090535E-2,-1.408690095E0,3.603998721E-1
7.726645585E0,-5.520532280E-2,-1.452060342E0,4.428642690E-1
7.745560324E0,-2.771719359E-2,-1.490543723E0,5.283828974E-1
7.764475064E0,2.825168660E-3,-1.523529410E0,6.163448691E-1
7.783389803E0,4.253023863E-2,-1.552850127E0,7.061394453E-1
7.802304543E0,9.017632902E-2,-1.573008060E0,7.934905887E-1
7.821219283E0,1.469851285E-1,-1.586446643E0,8.753440976E-1
7.840134022E0,2.123457789E-1,-1.590111732E0,9.487221241E-1
7.859048762E0,2.862583101E-1,-1.582170725E0,1.009806871E0
7.877963449E0,3.626142144E-1,-1.562012792E0,1.056231260E0
